date,code,high,low,close,code_name
2022-12-27,sh.688598,224.04,215.0,222.9,金博股份
2022-12-27,sz.002594,263.98,259.8,262.12,比亚迪
2022-12-27,sz.300316,62.86,60.8,62.03,晶盛机电
2022-12-28,sh.600036,37.52,36.58,37.33,招商银行
2022-12-28,sh.600389,45.37,43.54,43.87,江山股份
2022-12-28,sh.600519,1747.0,1708.01,1733.0,贵州茅台
2022-12-28,sh.601012,43.1,41.71,42.8,隆基绿能
2022-12-28,sh.688598,223.45,216.01,221.86,金博股份
2022-12-28,sz.002594,259.2,253.0,254.62,比亚迪
2022-12-28,sz.300316,63.76,61.25,63.0,晶盛机电
2022-12-29,sh.600036,37.32,36.65,37.23,招商银行
2022-12-29,sh.600389,43.99,43.24,43.6,江山股份
2022-12-29,sh.600519,1726.99,1701.05,1719.0,贵州茅台
2022-12-29,sh.601012,43.38,42.41,42.62,隆基绿能
